Domain,Objective,Sub Section,Sub Section Objective,Program,Score,Statement
Governance,"To assess the organization__ motivation and stability by reviewing its guiding principles, structure and oversight.",Vision/Mission,"To review the organization__ vision and/or mission statements, learn what drives the organization, how the statements reflect what it does and how they are communicated and understood by staff.",RSSH,2,"The vision and/or mission is
_	A moderately clear or specific understanding of what the organization aspires to become or achieve
_	Not widely held
_	Rarely used to direct actions or to set priorities"
Governance,"To assess the organization__ motivation and stability by reviewing its guiding principles, structure and oversight.",Vision/Mission,"To review the organization__ vision and/or mission statements, learn what drives the organization, how the statements reflect what it does and how they are communicated and understood by staff.",NTLP,4,"The vision and/or mission is
_	A clear, specific and forceful understanding of what the organization aspires to become or to achieve
_	Well-communicated and broadly held within the organization
_	Consistently used to direct actions and to set priorities"
Governance,"To assess the organization__ motivation and stability by reviewing its guiding principles, structure and oversight.",Vision/Mission,"To review the organization__ vision and/or mission statements, learn what drives the organization, how the statements reflect what it does and how they are communicated and understood by staff.",NMCP,4,"The vision and/or mission is
_	A clear, specific and forceful understanding of what the organization aspires to become or to achieve
_	Well-communicated and broadly held within the organization
_	Consistently used to direct actions and to set priorities"
Governance,"To assess the organization__ motivation and stability by reviewing its guiding principles, structure and oversight.",Vision/Mission,"To review the organization__ vision and/or mission statements, learn what drives the organization, how the statements reflect what it does and how they are communicated and understood by staff.",NACP,3,"The vision and/or mission is
_	A clear, specific statement of what the organization aspires to become or achieve
_	Well-known to most but not all staff
_	Sometimes used to direct actions and to set priorities"
Governance,"To assess the organization__ motivation and stability by reviewing its guiding principles, structure and oversight.",Organizational Structure,"To determine if the organization__ structure__ost often depicted in an organogram but also perhaps in a narrative__s in line with its mission, goals and programs and if systems exist to ensure strong coordination among departments or functions.",RSSH,2,"The organization has
_	A basic structure, but it is incomplete and/or undocumented
_	A structure that is not aligned with its mission/goals and programs
_	Unclear definitions of department functions
_	Somewhat clear lines of responsibility and communication among departments"
Governance,"To assess the organization__ motivation and stability by reviewing its guiding principles, structure and oversight.",Organizational Structure,"To determine if the organization__ structure__ost often depicted in an organogram but also perhaps in a narrative__s in line with its mission, goals and programs and if systems exist to ensure strong coordination among departments or functions.",NTLP,3,"The organization has
_	A well-designed structure (e.g., organogram) relevant to its mission/goals and programs
_	Identified the functions and responsibilities of departments
_	Clearly defined and appropriate lines of responsibility and communication among departments"
Governance,"To assess the organization__ motivation and stability by reviewing its guiding principles, structure and oversight.",Organizational Structure,"To determine if the organization__ structure__ost often depicted in an organogram but also perhaps in a narrative__s in line with its mission, goals and programs and if systems exist to ensure strong coordination among departments or functions.",NMCP,4,"The organization has
_	A well-defined structure relevant to its mission/goals and programs
_	Clearly defined and appropriate functions and responsibilities of departments
_	Clear, appropriate lines of communication and coordination among departments
_	A narrative description of the structure if appropriate"
Governance,"To assess the organization__ motivation and stability by reviewing its guiding principles, structure and oversight.",Organizational Structure,"To determine if the organization__ structure__ost often depicted in an organogram but also perhaps in a narrative__s in line with its mission, goals and programs and if systems exist to ensure strong coordination among departments or functions.",NACP,3,"The organization has
_	A well-designed structure (e.g., organogram) relevant to its mission/goals and programs
_	Identified the functions and responsibilities of departments
_	Clearly defined and appropriate lines of responsibility and communication among departments"
Governance,"To assess the organization__ motivation and stability by reviewing its guiding principles, structure and oversight.",Legal Status,To assess the organization__ legal standing__nd therefore sustainability__y checking legal registration and compliance with local tax and labor laws,RSSH,4,"The organization is
_	Legally registered and aware of its tax status
_	Fully complies with tax obligations and labor laws
_	Fully complies with statutory audit and reporting requirements"
Governance,"To assess the organization__ motivation and stability by reviewing its guiding principles, structure and oversight.",Legal Status,To assess the organization__ legal standing__nd therefore sustainability__y checking legal registration and compliance with local tax and labor laws,NTLP,4,"The organization is
_	Legally registered and aware of its tax status
_	Fully complies with tax obligations and labor laws
_	Fully complies with statutory audit and reporting requirements"
Governance,"To assess the organization__ motivation and stability by reviewing its guiding principles, structure and oversight.",Legal Status,To assess the organization__ legal standing__nd therefore sustainability__y checking legal registration and compliance with local tax and labor laws,NMCP,4,"The organization is
_	Legally registered and aware of its tax status
_	Fully complies with tax obligations and labor laws
_	Fully complies with statutory audit and reporting requirements"
Governance,"To assess the organization__ motivation and stability by reviewing its guiding principles, structure and oversight.",Legal Status,To assess the organization__ legal standing__nd therefore sustainability__y checking legal registration and compliance with local tax and labor laws,NACP,4,"The organization is
_	Legally registered and aware of its tax status
_	Fully complies with tax obligations and labor laws
_	Fully complies with statutory audit and reporting requirements"
Governance,"To assess the organization__ motivation and stability by reviewing its guiding principles, structure and oversight.",Succession Planning,"To assess the organization__ ability to continue smooth operations and to manage programs in the event of an absence of, or shift in, leadership.",RSSH,3,"The organization
_	Has limited dependence on CEO/ED; s/he does not have sole control of, for example, finances and planning
_	Would continue in a similar way without the CEO/ED, but fundraising and/or program quality would suffer significantly
_	Has a documented plan for how it would continue should the CEO/ED leave, but no member of management could take on the CEO/ED role"
Governance,"To assess the organization__ motivation and stability by reviewing its guiding principles, structure and oversight.",Succession Planning,"To assess the organization__ ability to continue smooth operations and to manage programs in the event of an absence of, or shift in, leadership.",NTLP,3,"The organization
_	Has limited dependence on CEO/ED; s/he does not have sole control of, for example, finances and planning
_	Would continue in a similar way without the CEO/ED, but fundraising and/or program quality would suffer significantly
_	Has a documented plan for how it would continue should the CEO/ED leave, but no member of management could take on the CEO/ED role"
