Sub Section,Subsection Checklist,Yes,No,N/A,Comments/Quality Notes,Other
Vision/Mission,Are the statements understood and relevant to the organization’s current purpose?,,,,,
Vision/Mission,Is the vision or mission statement posted where staff and/or visitors see it regularly?,,,,,
Vision/Mission,"Is the statement(s) used in organizational materials (i.e., staff handbooks, orientation materials)?",,,,,
Vision/Mission,Does the organization review the vision and mission statements in conjunction with strategic planning?,,,,,
Vision/Mission,"Are the vision and mission used to set priorities? If so, please describe how.",,,,,
Organizational Structure,Is the organizational and reporting structure clearly documented and disseminated?,,,,,
Organizational Structure,Is there an organogram or similar document outlining supervisory and staff responsibilities?,,,,,
Organizational Structure,Please describe the functions of the departments and how departments communicate with each other.,,,,,
Organizational Structure,Please describe how the structure supports the mission.,,,,,
Legal Status,Is documentation of legal registration readily available or posted in the office?,,,,,
Legal Status,Are labor laws adhered to and documented in human resource policies or in the handbook?,,,,,
Legal Status,Does the organization comply with the tax codes for both itself and the staff?,,,,,
Legal Status,Does the organization comply with annual statutory requirements such as audits and other reporting?,,,,,
Legal Status,Does the board review and approve the audit and other statutory reports?,,,,,
Succession Planning,Is there a deputy or other staff/board member who can fulfill the duties of the CEO/ED for short or long periods?,,,,,
Succession Planning,Is this role documented in the organizational structure and in the job description of the staff/board member?,,,,,
Succession Planning,In what ways is the capacity of the person to take on the role being built?,,,,,
Succession Planning,"Is there a plan for handling a transition process, including fundraising, operations and program quality? Please describe.",,,,,
"Operational Policies, Procedures and Systems",Are there written operational procedures? Are they approved?,,,,,"* Many of the questions above, and below in the subsequent administrative sections, can be answered in advance by the facilitator per detailed review of the organization’s
administrative and/or financial policies and procedures manual."
"Operational Policies, Procedures and Systems","Do the documented procedures adequately support the operational needs of the organization (i.e., travel, procurement, fixed assets, IT, file management, meeting and workshop planning, security and safety, etc.)?",,,,,
"Operational Policies, Procedures and Systems",Do the written operational policies/procedures address donor specific rules and regulations (for USG-funded programs this includes: code of ethics/conflict of interest; use and billing of shared equipment; vehicle utilization and maintenance; marking and branding; publications and media releases; etc.)?,,,,,
"Operational Policies, Procedures and Systems",Are the operational policies and procedures presented in a way that is easy for non-financial staff to understand and apply?,,,,,
"Operational Policies, Procedures and Systems",Are staff oriented/trained in the procedures? How often? How is the orientation/training documented?,,,,,
"Operational Policies, Procedures and Systems",Are the operational procedures formally reviewed/updated? How often? What is the process? Is it documented?,,,,,
"Operational Policies, Procedures and Systems",Are copies of forms/templates incorporated in the manual and/or readily available?,,,,,
"Operational Policies, Procedures and Systems",Are there systems to ensure compliance with operational procedures? Please describe. Have there been findings in external or internal audits related to noncompliance with operational procedures?,,,,,
Travel Policies and Procedures,"Are travel policies and procedures documented, and if yes, where?",,,,,
Travel Policies and Procedures,"Do the documented policies adequately support the needs of the organization (i.e., approval process for travel, travel bookings, per diem policies, mileage rates, documentation requirements, etc.)?",,,,,
Travel Policies and Procedures,"Do the travel policies/procedures address donor specific rules and regulations (for USG funded programs, this includes prior approvals for international travel, compliance with Fly America Act, etc.)? How is this done?",,,,,
Travel Policies and Procedures,"Are travel advances tracked separately within the chart of accounts and not billed to donors who prohibit billing travel advances (e.g., USG) directly?",,,,,
Travel Policies and Procedures,Is documentation used to support travel advances and reconciliations? Please explain.,,,,,
Travel Policies and Procedures,Are outstanding travel advances tracked and reconciled in a timely manner?,,,,,
Procurement,"Are procurement policies and procedures documented, and if yes, where?",,,,,
Procurement,"Do the documented policies and procedures adequately support the needs of the organization (i.e., procurement responsibilities, procurement planning, competition, exceptions, award, delivery and inspection, documentation, inventory, etc.)?",,,,,
Procurement,"Are donor-specific procurement regulations addressed in the policies? (For USG-funded projects, these include: code of ethics; listing of restricted and ineligible goods; source and origin restrictions; verification of supplier eligibility through the Excluded Parties List System [EPLS] and State Department terrorist watch list, approval requirements.)",,,,,
Procurement,Does the organization have a documented procurement plan which reflects organizational requirements? How often is it updated?,,,,,
Fixed Asset Control,"Are fixed asset policies and procedures documented, and if yes, where?",,,,,
