Domain,Objective,Subsection,Subsection Objective,Resources,1,2,3,4
Governance,"To assess the organization’s motivation and stability by reviewing its guiding principles, structure and oversight.",Vision/Mission,"To review the organization’s vision and/or mission statements, learn what drives the organization, how the statements reflect what it does and how they are communicated and understood by staff.","vision and/or mission statements, anonymous staff and board questionnaires (see Facilitator’s Guide)","The vision and/or mission is
•	Not a clearly stated description of what the organization aspires to achieve or become","The vision and/or mission is
•	A moderately clear or specific understanding of what the organization aspires to become or achieve
•	Not widely held
•	Rarely used to direct actions or to set priorities","The vision and/or mission is
•	A clear, specific statement of what the organization aspires to become or achieve
•	Well-known to most but not all staff
•	Sometimes used to direct actions and to set priorities","The vision and/or mission is
•	A clear, specific and forceful understanding of what the organization aspires to become or to achieve
•	Well-communicated and broadly held within the organization
•	Consistently used to direct actions and to set priorities"
Governance,"To assess the organization’s motivation and stability by reviewing its guiding principles, structure and oversight.",Organizational Structure,"To determine if the organization’s structure—most often depicted in an organogram but also perhaps in a narrative—is in line with its mission, goals and programs and if systems exist to ensure strong coordination among departments or functions.","organizational diagram, organogram or narrative","The organization has
•	No formal structure
•	An unclear description of its departments and their functions","The organization has
•	A basic structure, but it is incomplete and/or undocumented
•	A structure that is not aligned with its mission/goals and programs
•	Unclear definitions of department functions
•	Somewhat clear lines of responsibility and communication among departments","The organization has
•	A well-designed structure (e.g., organogram) relevant to its mission/goals and programs
•	Identified the functions and responsibilities of departments
•	Clearly defined and appropriate lines of responsibility and communication among departments","The organization has
•	A well-defined structure relevant to its mission/goals and programs
•	Clearly defined and appropriate functions and responsibilities of departments
•	Clear, appropriate lines of communication and coordination among departments
•	A narrative description of the structure if appropriate"
Governance,"To assess the organization’s motivation and stability by reviewing its guiding principles, structure and oversight.",Legal Status,To assess the organization’s legal standing—and therefore sustainability—by checking legal registration and compliance with local tax and labor laws.,"registration, where possible and feasible, local tax laws, local labor laws","The organization is
•	Not legally registered, registration has expired, or the organization does not know its legal status and local labor laws
•	Not aware of its tax status and/or is not paying taxes
•	Not aware of statutory audit and reporting requirements","The organization is
•	Not currently a legally recognized entity in the country in which it operates but has applied for legal status
•	Aware of its tax status and local labor laws but is not fully compliant
•	Aware of statutory audit and reporting requirements but is not fully compliant","The organization is
•	Legally registered and aware of its tax status
•	Not always compliant with tax obligations and/or labor laws
•	Not always compliant with statutory audit and reporting requirements","The organization is
•	Legally registered and aware of its tax status
•	Fully complies with tax obligations and labor laws
•	Fully complies with statutory audit and reporting requirements"
Governance,"To assess the organization’s motivation and stability by reviewing its guiding principles, structure and oversight.",Succession Planning,"To assess the organization’s ability to continue smooth operations and to manage programs in the event of an absence of, or shift in, leadership.","job descriptions of senior management, succession plan, organizational chart","The organization
•	Is very dependent on the Chief Executive Officer (CEO)/Executive Director (ED)
•	Would cease to exist or function without the CEO/ED
•	Has no plan for how it would continue if the CEO/ED left","The organization
•	Is dependent on the CEO/ED
•	Would continue to exist without the CEO/ED but most likely in a very different form, or with significantly less capability and reduced program quality
•	Has a very basic succession plan describing how the organization will continue if the CEO/ED leaves","The organization
•	Has limited dependence on CEO/ED; s/he does not have sole control of, for example, finances and planning
•	Would continue in a similar way without the CEO/ED, but fundraising and/or program quality would suffer significantly
•	Has a documented plan for how it would continue should the CEO/ED leave, but no member of management could take on the CEO/ED role","The organization
•	Is reliant but not dependent on the CEO/ED
•	Has a clear, documented succession plan
•	Has the potential for a smooth transition to a new leader; fundraising and program quality would not be major problems
•	Would handle transition by having a senior management team fill in or one or more members of the management team would take on the CEO/ED role"
Administration,"To assess the organization’s capacity to develop and apply policies and procedures, the existence and quality of its administrative systems and its staff knowledge of the systems.","Operational Policies, Procedures and Systems",To assess the availability of and adherence to operational policies.,"policy and procedures manual, anonymous staff questionnaires, related payment vouchers","The organization has
•	No documented operational policies and procedures","The organization has
•	Documented some operational policies and procedures, but they are incomplete or not compliant with national and donor regulations
•	Policies and procedures that are not consistently adhered to
•	Not oriented or trained staff in the policies and procedures","The organization has
•	Documented most or all operational policies and procedures and they are compliant with national and donor regulations
•	Policies and procedures that are known but not consistently adhered to
•	Oriented or trained staff in the policies and procedures
•	No process for regularly reviewing and updating operational policies and procedures","The organization has
•	Complete and appropriate operational policies and procedures
•	Policies and procedures that are known and understood by staff
•	Policies and procedures that are consistently adhered to, reviewed and updated"
Administration,"To assess the organization’s capacity to develop and apply policies and procedures, the existence and quality of its administrative systems and its staff knowledge of the systems.",Travel Policies and Procedures,"To assess the availability of and adherence to travel policies and procedures, especially compliance with donor rules and regulations.","travel manual, staff questionnaires, related payment vouchers","The organization has
•	No documented travel procedures (i.e., per diem levels, forms, approval procedures)","The organization has
•	Documented some travel policies and procedures, but they are incomplete or noncompliant with donor requirements
•	Policies and procedures that are not well-known or understood by staff and not consistently adhered to","The organization has
•	Documented most or all travel policies and procedures, and they comply with donor requirements
•	Policies and procedures that are generally known and understood by staff but not consistently adhered to","The organization has
•	Complete and appropriate travel policies and procedures that comply with donor requirements
•	Policies and procedures that are known and understood by staff
•	Policies and procedures that are consistently adhered to, reviewed and updated"
Administration,"To assess the organization’s capacity to develop and apply policies and procedures, the existence and quality of its administrative systems and its staff knowledge of the systems.",Procurement,To assess the availability of and adherence to procurement policies and procedures.,"procurement policies, procurement files, related payment vouchers, procurement plan","The organization has
•	No documented procurement procedures
•	No documented procurement plan","The organization has
•	Documented some procurement policies and procedures, but they are incomplete or inappropriate
•	Policies and procedures that are not well-known or understood by staff and inconsistently adhered to
•	No documented procurement plan, but is aware of procurement regulations","The organization has
•	Documented most or all procurement policies and procedures, and they are appropriate
•	Policies and procedures that are generally known and understood by staff but inconsistently adhered to
•	A documented procurement plan","The organization has
•	Complete and appropriate procurement policies and procedures that incorporate donor-specific policies as required
•	Policies and procedures that are known and understood by staff
•	Policies and procedures that are consistently adhered to, reviewed and updated
•	A documented procurement plan that is annually revised/updated"
Administration,"To assess the organization’s capacity to develop and apply policies and procedures, the existence and quality of its administrative systems and its staff knowledge of the systems.",Fixed Asset Control,To assess the availability of and adherence to policies and systems for managing fixed assets.,"fixed asset policies, fixed asset register, physical inventory reports","The organization has
•	No documented fixed asset procedures (i.e., inventory of assets and systems for stock control)
•	No fixed asset register","The organization has
•	Documented some fixed asset policies and procedures, but they are incomplete or inappropriate
•	Policies and procedures that are not well-known or understood by staff and not consistently adhered to
•	A fixed-asset register that is not complete","The organization has
•	Documented most or all fixed asset policies and procedures, and they are appropriate
•	Policies and procedures that are known and understood by staff but inconsistently adhered to
•	A fixed asset register that is complete but not regularly updated","The organization has
•	Complete and appropriate fixed-asset policies and procedures that incorporate donor policies as required
•	Policies and procedures that are known and understood by staff
•	Policies and procedures that are consistently adhered to, reviewed and updated
•	A fixed-asset register that is regularly updated and confirmed through a physical inventory at least every two years"
Administration,"To assess the organization’s capacity to develop and apply policies and procedures, the existence and quality of its administrative systems and its staff knowledge of the systems.",Information Systems,To assess the functionality of the organization’s information systems and its documentation of information system policies and procedures.,"information system policies and procedures, staff interviews","The organization has
•	No documented information system policies and procedures
•	An insufficient information system to manage operations and/or programs
•	No one designated to manage the information system","The organization has
•	Documented some information system policies and procedures, but they are incomplete or inappropriate
•	An information system that supports operations and programs at basic levels of functionality
•	No one designated to manage the information system","The organization has
•	Documented most or all information system policies and procedures
•	An information system that adequately supports operations and programs at  a good level of functionality without major inputs
•	A staff member (or outside provider) designated to manage the information system","The organization has
•	Complete and appropriate information system policies and procedures
•	An information system that effectively and efficiently supports operations and programs at a high level of functionality and maintenance
•	A staff member (or outside provider) designated to manage the information system"
Human Resources Management,"To assess the organization’s ability to maintain a satisfied and skilled workforce, to manage operations and staff time and to implement quality programs.",Job Descriptions,"To review the systems for developing, disseminating, following and updating job descriptions (JDs) to ensure that staff roles and responsibilities are clearly defined and understood and that they are relevant to the needs of the organization.",sample job descriptions for each position or level (depending on size of organization),"The organization has
•	No JDs for staff, volunteers or interns","The organization has
•	JDs for each staff member, but not all key sections are covered
•	Staff, volunteers and interns who are not aware of or do not have copies of their JDs","The organization has
•	Clear JDs for each staff member that include all sections
•	Staff, volunteers and interns with copies or access to copies of their JDs
•	JDs that are not respected/adhered to, reviewed or regularly updated","The organization has
•	JDs for each staff member that cover all sections
•	Staff, volunteers and interns with copies of or access to their JDs
•	JDs that are respected/adhered to, reviewed and updated"
